Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor
20170809-113532:294,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4202604,true,58804,1y,10y,718269,693833,718119,1/1/1855,1/1/2016,207.173788824,727.103257237,80.335419819,results/bf-search-c/20170809-113532:294,5.0E-5
20170809-115226:899,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192629,true,58804,1y,10y,718283,693855,718118,1/1/1855,1/1/2016,226.656520215,439.580052825,59.000734871,results/bf-search-c/20170809-115226:899,6.0E-5
20170809-114333:102,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8405321,true,58804,1y,10y,1436548,1387686,1436241,1/1/1855,1/1/2016,615.151889363,1019.12963749,140.301045461,results/bf-search-d/20170809-114333:102,0.0
20170809-114453:920,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8405237,true,58804,1y,10y,1436536,1387662,1436231,1/1/1855,1/1/2016,617.206826219,1012.003912649,151.524032225,results/bf-search-detailed-d/20170809-114453:920,0.0
20170809-120432:137,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192546,true,58804,1y,10y,718263,693830,718106,1/1/1855,1/1/2016,184.391472376,443.252061646,63.532716226,results/bf-search-c/20170809-120432:137,7.000000000000001E-5
20170809-121603:313,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192570,true,58804,1y,10y,718267,693836,718114,1/1/1855,1/1/2016,190.685507678,453.007161546,57.418692919,results/bf-search-c/20170809-121603:313,8.0E-5
20170809-121307:685,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8431557,true,58804,1y,10y,1444997,1402988,1444743,1/1/1855,1/1/2016,555.324550166,868.473811026,133.763621882,results/bf-search-d/20170809-121307:685,1.0E-4
20170809-122744:425,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192582,true,58804,1y,10y,718272,693836,718117,1/1/1855,1/1/2016,184.737847981,443.234649276,58.283799601,results/bf-search-c/20170809-122744:425,9.0E-5
20170809-121434:655,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385321,true,58804,1y,10y,1436563,1387705,1436251,1/1/1855,1/1/2016,557.005651001,852.879145765,139.880783161,results/bf-search-detailed-d/20170809-121434:655,2.0E-5
20170809-123910:682,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4193131,true,58804,1y,10y,718397,693955,718237,1/1/1855,1/1/2016,189.312840468,447.52558407,57.028311087,results/bf-search-c/20170809-123910:682,1.0E-4
20170809-120012:709,bf-search-e,dev-bf,src/main/resources/scotland_test_population,16810354,true,58804,1y,10y,2873076,2775219,2872467,1/1/1855,1/1/2016,1158.68796623,1647.108352381,284.955956669,results/bf-search-e/20170809-120012:709,2.0E-5
20170809-125044:560,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4200680,true,58804,1y,10y,719854,696323,719715,1/1/1855,1/1/2016,183.456491306,423.194500837,59.633210455,results/bf-search-c/20170809-125044:560,1.1E-4
20170809-123905:248,bf-search-d,dev-bf,src/main/resources/scotland_test_population,8477891,true,58804,1y,10y,1453381,1418516,1453165,1/1/1855,1/1/2016,544.219373488,838.121096787,148.308577769,results/bf-search-d/20170809-123905:248,2.0E-4
20170809-124024:421,bf-search-detailed-d,dev-bf,src/main/resources/scotland_test_population,8385206,true,58804,1y,10y,1436544,1387674,1436233,1/1/1855,1/1/2016,529.64127797,829.231192572,149.044305402,results/bf-search-detailed-d/20170809-124024:421,4.0E-5
20170809-130150:845,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4207542,true,58804,1y,10y,721050,698660,720909,1/1/1855,1/1/2016,184.980618492,863.51820346,59.027713957,results/bf-search-c/20170809-130150:845,1.2E-4
20170809-132018:390,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4213565,true,58804,1y,10y,722167,700621,722031,1/1/1855,1/1/2016,179.664254221,410.709607405,56.216296512,results/bf-search-c/20170809-132018:390,1.3000000000000002E-4
