Source,NCIP,Separated,Date,freq
SIM,3,NO,1975,3014
SIM,3,NO,1974,3021
SIM,3,NO,1973,2990
SIM,3,NO,1972,2931
SIM,3,NO,1979,3015
SIM,3,NO,1978,2942
SIM,3,NO,1977,2982
SIM,3,NO,1976,2963
STAT,2,NA,1780,71758.91549590323
STAT,2,NA,1781,74184.96438736109
STAT,2,NA,1782,76582.63321446096
SIM,3,NO,1971,2947
STAT,2,NA,1783,78951.3011474945
SIM,3,NO,1970,2954
STAT,2,NA,1784,81289.49051261977
STAT,2,NA,1785,83596.9851301055
STAT,2,NA,1786,85871.44662913519
STAT,2,NA,1776,61774.860049359035
STAT,2,NA,1777,64313.881331072895
STAT,2,NA,1778,66822.80527670603
STAT,2,NA,1779,69305.37959189038
SIM,3,NO,1969,2981
SIM,3,NO,1964,2958
SIM,3,NO,1963,2972
SIM,3,NO,1962,2971
SIM,3,NO,1961,3006
SIM,3,NO,1968,2979
SIM,3,NO,1967,2977
SIM,3,NO,1966,3017
SIM,3,NO,1965,3008
STAT,2,NA,1790,94614.35281528659
STAT,2,NA,1791,96702.73006886449
STAT,2,NA,1792,98748.1033690671
STAT,2,NA,1793,100748.21320792654
SIM,3,NO,1960,2954
STAT,2,NA,1794,102700.80609637477
STAT,2,NA,1795,104603.71132324048
STAT,2,NA,1796,106454.10326200165
STAT,2,NA,1797,108249.46188927493
STAT,2,NA,1787,88111.89592884242
STAT,2,NA,1788,90316.92303169704
STAT,2,NA,1789,92484.79813305497
SIM,3,NO,1959,3034
SIM,3,NO,1958,3009
SIM,3,NO,1953,3030
STAT,5+,NA,1893,19670.674209585268
SIM,3,NO,1952,3009
STAT,5+,NA,1894,19666.859977368214
SIM,3,NO,1951,2929
STAT,5+,NA,1891,19678.30498002386
SIM,3,NO,1950,3049
STAT,5+,NA,1892,19674.48924292583
SIM,3,NO,1957,3070
STAT,5+,NA,1897,19655.42289398796
SIM,3,NO,1956,2975
STAT,5+,NA,1898,19651.61259717387
SIM,3,NO,1955,3004
STAT,5+,NA,1895,19663.046629652003
SIM,3,NO,1954,2930
STAT,5+,NA,1896,19659.23424894139
STAT,5+,NA,1899,19647.80338105125
STAT,2,NA,1798,109987.2293777921
STAT,2,NA,1799,111664.63973964921
SIM,3,NO,1949,2990
SIM,3,NO,1948,3010
SIM,3,NO,1947,3039
SIM,3,NO,1942,2989
STAT,5+,NA,1882,19712.66365152991
SIM,3,NO,1941,2969
STAT,5+,NA,1883,19708.8451008046
SIM,3,NO,1940,2974
STAT,5+,NA,1880,19720.30179374781
STAT,5+,NA,1881,19716.482506505654
SIM,3,NO,1946,2954
STAT,5+,NA,1886,19697.390651219204
SIM,3,NO,1945,2985
STAT,5+,NA,1887,19693.572890048847
SIM,3,NO,1944,2930
STAT,5+,NA,1884,19705.026761878165
SIM,3,NO,1943,3099
STAT,5+,NA,1885,19701.208636708292
SIM,5+,YES,1981,1
STAT,5+,NA,1888,19689.75536766021
STAT,5+,NA,1889,19685.938152142924
SIM,3,NO,1939,3019
SIM,3,NO,1938,3008
SIM,3,NO,1937,2998
SIM,3,NO,1936,2979
STAT,5+,NA,1890,19682.121325472308
SIM,3,NO,1931,3017
STAT,5+,NA,1871,19754.71829283365
SIM,3,NO,1930,3035
STAT,5+,NA,1872,19750.88864507245
STAT,5+,NA,1870,19758.549558049966
SIM,3,NO,1935,2995
STAT,5+,NA,1875,19739.40937636443
SIM,3,NO,1934,2943
STAT,5+,NA,1876,19735.58582976425
SIM,3,NO,1933,2994
STAT,5+,NA,1873,19747.06066370672
SIM,3,NO,1932,3078
STAT,5+,NA,1874,19743.2342372111
STAT,5+,NA,1879,19724.121558695108
STAT,5+,NA,1877,19731.7634515393
STAT,5+,NA,1878,19727.942106380196
SIM,3,NO,1928,3060
SIM,3,NO,1927,3049
SIM,3,NO,1926,2994
SIM,3,NO,1925,3006
