Source,Age,NPCIAP,CIY,Date,freq
STAT,20to24,0+,YES,1760,5683.206981976372
STAT,20to24,0+,YES,1755,5692.226399999998
STAT,20to24,0+,YES,1756,5690.651957915397
STAT,20to24,0+,YES,1757,5689.143291357786
STAT,20to24,0+,YES,1758,5686.819092390962
STAT,20to24,0+,YES,1759,5683.273488606986
STAT,20to24,0+,YES,1770,5675.480920656521
STAT,20to24,0+,YES,1771,5673.73846094083
STAT,20to24,0+,YES,1765,5676.416262918836
STAT,20to24,0+,YES,1766,5675.855878218376
STAT,20to24,0+,YES,1767,5675.376274980184
STAT,20to24,0+,YES,1768,5676.379730903395
STAT,20to24,0+,YES,1761,5682.289622967051
STAT,20to24,0+,YES,1762,5680.926101274216
STAT,20to24,0+,YES,1763,5678.8922003515445
STAT,20to24,0+,YES,1764,5679.63780648561
STAT,20to24,0+,YES,1769,5673.576342332725
STAT,20to24,0+,YES,1798,5643.671188261027
STAT,20to24,0+,YES,1799,5642.720906807355
STAT,20to24,0+,YES,1794,5647.268302611333
STAT,20to24,0+,YES,1795,5646.333882297384
STAT,20to24,0+,YES,1796,5645.45820198545
STAT,20to24,0+,YES,1797,5644.568907626162
STAT,20to24,0+,YES,1780,5664.6733627831
STAT,20to24,0+,YES,1781,5663.220800230934
STAT,20to24,0+,YES,1782,5661.767885599766
STAT,20to24,0+,YES,1776,5669.606726210037
STAT,20to24,0+,YES,1777,5668.534854918528
STAT,20to24,0+,YES,1778,5667.395382247602
STAT,20to24,0+,YES,1779,5668.22872885443
STAT,20to24,0+,YES,1772,5673.5275147171415
STAT,20to24,0+,YES,1773,5671.459438569128
STAT,20to24,0+,YES,1774,5669.318889511862
STAT,20to24,0+,YES,1775,5669.905330429715
STAT,20to24,0+,YES,1790,5651.3158124220645
STAT,20to24,0+,YES,1791,5650.246589424464
STAT,20to24,0+,YES,1792,5649.195986313018
STAT,20to24,0+,YES,1793,5648.202893496258
STAT,20to24,0+,YES,1787,5654.904587536428
STAT,20to24,0+,YES,1788,5653.680302529898
STAT,20to24,0+,YES,1789,5652.506309126215
STAT,20to24,0+,YES,1783,5660.379060681244
STAT,20to24,0+,YES,1784,5658.9862435491505
STAT,20to24,0+,YES,1785,5657.540382064718
STAT,20to24,0+,YES,1786,5656.220599087449
SIM,-1,0+,NO,2013,46
SIM,-1,0+,NO,2012,44
SIM,-1,0+,NO,2014,56
SIM,-1,0+,NO,2011,48
SIM,-1,0+,NO,2010,52
SIM,-1,0+,NO,2002,51
SIM,-1,0+,NO,2001,53
SIM,-1,0+,NO,2004,55
SIM,-1,0+,NO,2003,57
SIM,-1,0+,NO,2006,38
SIM,-1,0+,NO,2005,51
SIM,-1,0+,NO,2008,41
SIM,-1,0+,NO,2007,56
SIM,-1,0+,NO,2000,71
SIM,-1,0+,NO,2009,58
SIM,30to34,0+,YES,1990,3376
SIM,30to34,0+,YES,1996,3371
SIM,30to34,0+,YES,1995,3378
SIM,30to34,0+,YES,1998,3366
SIM,30to34,0+,YES,1997,3378
SIM,30to34,0+,YES,1992,3385
SIM,30to34,0+,YES,1991,3380
SIM,30to34,0+,YES,1994,3374
SIM,30to34,0+,YES,1993,3372
SIM,30to34,0+,YES,1999,3386
SIM,30to34,0+,NO,1854,45657
SIM,30to34,0+,NO,1855,45636
SIM,30to34,0+,NO,1856,45619
SIM,30to34,0+,NO,1857,45625
SIM,30to34,0+,NO,1858,45613
SIM,30to34,0+,NO,1859,45603
SIM,30to34,0+,NO,1863,45537
SIM,30to34,0+,NO,1864,45543
SIM,30to34,0+,NO,1865,45546
SIM,30to34,0+,NO,1866,45513
SIM,30to34,0+,NO,1867,45517
SIM,30to34,0+,NO,1868,45520
SIM,30to34,0+,NO,1869,45496
SIM,30to34,0+,NO,1860,45598
SIM,30to34,0+,NO,1861,45583
SIM,30to34,0+,NO,1862,45559
SIM,30to34,0+,YES,1974,3391
SIM,30to34,0+,YES,1973,3391
SIM,30to34,0+,YES,1976,3396
SIM,30to34,0+,YES,1975,3391
SIM,30to34,0+,YES,1970,3392
SIM,30to34,0+,YES,1972,3394
SIM,30to34,0+,YES,1971,3400
SIM,30to34,0+,YES,1978,3396
SIM,30to34,0+,YES,1977,3387
SIM,30to34,0+,YES,1979,3386
SIM,30to34,0+,NO,1874,45453
SIM,30to34,0+,NO,1875,45441
SIM,30to34,0+,NO,1876,45436
SIM,30to34,0+,NO,1877,45419
SIM,30to34,0+,NO,1878,45404
SIM,30to34,0+,NO,1879,45401
SIM,30to34,0+,NO,1870,45477
SIM,30to34,0+,NO,1871,45489
SIM,30to34,0+,NO,1872,45484
SIM,30to34,0+,NO,1873,45462
SIM,30to34,0+,YES,1985,3384
SIM,30to34,0+,YES,1984,3384
SIM,30to34,0+,YES,1987,3379
SIM,30to34,0+,YES,1986,3388
SIM,30to34,0+,YES,1981,3377
SIM,30to34,0+,YES,1980,3391
SIM,30to34,0+,YES,1983,3386
SIM,30to34,0+,YES,1982,3390
SIM,30to34,0+,YES,1989,3378
SIM,30to34,0+,YES,1988,3381
