Source,Age,NPA,Date,freq
STAT,50+,20to24,1977,0.0
STAT,25to29,25to29,1869,102.04738564099681
STAT,45to49,50to100,1888,1.2832938398779898
STAT,50+,20to24,1978,0.0
STAT,45to49,50to100,1889,1.2884856970402794
STAT,25to29,25to29,1868,101.40495103148083
STAT,50+,20to24,1979,0.0
STAT,45to49,50to100,1886,1.2788173919766617
STAT,25to29,25to29,1867,100.97159350342402
STAT,45to49,50to100,1887,1.2818029207591073
STAT,25to29,25to29,1866,100.10089677856392
STAT,25to29,25to29,1865,98.43796126845025
STAT,25to29,25to29,1864,95.90032394481096
STAT,25to29,25to29,1863,92.9290343542384
STAT,25to29,25to29,1862,88.91021610518156
STAT,25to29,50to100,1938,1.5211731661340342
STAT,25to29,50to100,1939,1.5208817907260657
STAT,25to29,50to100,1934,1.5223300650524165
STAT,25to29,50to100,1935,1.5220392599360837
STAT,25to29,50to100,1936,1.5217479659175503
STAT,25to29,50to100,1937,1.5214583524797016
STAT,25to29,50to100,1930,1.5234869185919164
STAT,25to29,25to29,1872,101.88295432550797
STAT,45to49,50to100,1891,1.286913392133635
STAT,50+,20to24,1970,0.0
STAT,25to29,50to100,1931,1.5231976337215176
STAT,25to29,25to29,1871,101.93156640996122
STAT,45to49,50to100,1892,1.2861496443741003
STAT,50+,20to24,1971,0.0
STAT,25to29,50to100,1932,1.5229082513475036
STAT,25to29,25to29,1870,101.89504508331285
STAT,50+,20to24,1972,0.0
STAT,25to29,50to100,1933,1.5226204444836162
STAT,45to49,50to100,1890,1.2861124495628042
STAT,50+,20to24,1973,0.0
STAT,45to49,50to100,1895,1.286940898309086
STAT,50+,20to24,1974,0.0
STAT,45to49,50to100,1896,1.2856172226890135
STAT,50+,20to24,1975,0.0
STAT,45to49,50to100,1893,1.2869553306199863
STAT,50+,20to24,1976,0.0
STAT,45to49,50to100,1894,1.284108574773752
STAT,50+,20to24,1988,0.0
STAT,25to29,25to29,1858,60.1385947053016
STAT,45to49,50to100,1877,1.0625208587613297
STAT,50+,20to24,1989,0.0
STAT,45to49,50to100,1878,1.1110844910083286
STAT,25to29,25to29,1857,48.49086815771777
STAT,25to29,25to29,1856,34.80576557853741
STAT,45to49,50to100,1875,0.9407195174161257
STAT,45to49,50to100,1876,1.0060045857344893
STAT,25to29,25to29,1855,18.61177175053354
STAT,45to49,50to100,1879,1.1492713127134724
STAT,50+,50to100,1997,0.0
STAT,50+,50to100,1998,0.0
STAT,50+,50to100,1999,0.0
STAT,25to29,25to29,1859,69.35368077335625
STAT,25to29,50to100,1949,1.5179175197197847
STAT,50+,50to100,1993,0.0
STAT,50+,50to100,1994,0.0
STAT,50+,50to100,1995,0.0
STAT,50+,50to100,1996,0.0
STAT,25to29,50to100,1945,1.5191095696958392
STAT,50+,50to100,1990,0.0
STAT,25to29,50to100,1946,1.5188111366531871
STAT,25to29,50to100,1947,1.5185136394715573
STAT,50+,50to100,1991,0.0
STAT,50+,50to100,1992,0.0
STAT,25to29,50to100,1948,1.518215075652972
STAT,50+,20to24,1980,0.0
STAT,25to29,25to29,1861,83.75506924454312
STAT,45to49,50to100,1880,1.1814778674588675
STAT,25to29,50to100,1941,1.5202906158796439
STAT,50+,20to24,1981,0.0
STAT,25to29,25to29,1860,77.3147577559894
STAT,45to49,50to100,1881,1.208701905140909
STAT,25to29,50to100,1942,1.519996791041947
STAT,50+,20to24,1982,0.0
STAT,25to29,50to100,1943,1.519703472180771
STAT,50+,20to24,1983,0.0
STAT,25to29,50to100,1944,1.5194074258782875
STAT,50+,20to24,1984,0.0
STAT,45to49,50to100,1884,1.2598789009913676
STAT,50+,20to24,1985,0.0
STAT,45to49,50to100,1885,1.271276567748153
STAT,50+,20to24,1986,0.0
STAT,45to49,50to100,1882,1.231147657677744
STAT,50+,20to24,1987,0.0
STAT,25to29,50to100,1940,1.5205858203151135
STAT,45to49,50to100,1883,1.2469924671222257
STAT,50+,20to24,1999,0.0
STAT,45to49,50to100,1866,0.2232077067989139
STAT,45to49,50to100,1867,0.28601686743522103
STAT,25to29,25to29,1889,101.55983457729441
STAT,45to49,50to100,1864,0.12903404694599127
STAT,45to49,50to100,1865,0.1710286268396589
STAT,25to29,25to29,1888,101.58539912535811
STAT,25to29,25to29,1887,101.60633084815814
