Source,NCIP,Separated,Date,freq
SIM,3,NO,1975,163
SIM,3,NO,1974,152
SIM,3,NO,1973,135
SIM,3,NO,1972,166
SIM,3,NO,1979,151
SIM,3,NO,1978,148
SIM,3,NO,1977,135
SIM,3,NO,1976,152
SIM,3,NO,1971,135
SIM,3,NO,1970,137
SIM,3,NO,1969,148
SIM,3,NO,1964,156
SIM,3,NO,1963,144
SIM,3,NO,1962,147
SIM,3,NO,1961,147
SIM,3,NO,1968,140
SIM,3,NO,1967,165
SIM,3,NO,1966,164
SIM,3,NO,1965,134
SIM,3,NO,1960,163
SIM,3,NO,1959,154
SIM,3,NO,1958,140
SIM,3,NO,1953,135
STAT,5+,NA,1893,906.5830487540769
SIM,3,NO,1952,143
STAT,5+,NA,1894,920.4662558211389
SIM,3,NO,1951,156
STAT,5+,NA,1891,876.9003889625582
SIM,3,NO,1950,126
STAT,5+,NA,1892,892.0366499911761
SIM,3,NO,1957,149
STAT,5+,NA,1897,957.9107535336364
SIM,3,NO,1956,138
STAT,5+,NA,1898,968.8761372873676
SIM,3,NO,1955,150
STAT,5+,NA,1895,933.6757573750738
SIM,3,NO,1954,165
STAT,5+,NA,1896,946.1752017629033
STAT,5+,NA,1899,979.0224188827214
SIM,3,NO,1949,168
SIM,3,NO,1948,152
SIM,3,NO,1947,148
SIM,3,NO,1942,147
STAT,5+,NA,1882,718.8363706591027
SIM,3,NO,1941,149
STAT,5+,NA,1883,737.9339144723032
SIM,3,NO,1940,131
STAT,5+,NA,1880,679.8443483521116
STAT,5+,NA,1881,699.4767709959526
SIM,3,NO,1946,148
STAT,5+,NA,1886,793.2431352735823
SIM,3,NO,1945,148
STAT,5+,NA,1887,810.9207324301419
SIM,3,NO,1944,148
STAT,5+,NA,1884,756.7066516814448
SIM,3,NO,1943,147
STAT,5+,NA,1885,775.1469168336963
STAT,5+,NA,1888,828.1964422969393
STAT,5+,NA,1889,844.9512587553113
SIM,3,NO,1939,157
SIM,3,NO,1938,178
SIM,3,NO,1937,148
SIM,3,NO,1936,161
STAT,5+,NA,1890,861.1939665922276
SIM,3,NO,1931,148
STAT,5+,NA,1871,498.3833997539392
SIM,3,NO,1930,145
STAT,5+,NA,1872,518.4345924504244
STAT,5+,NA,1870,478.8536838386515
SIM,3,NO,1935,168
STAT,5+,NA,1875,578.9380858389029
SIM,3,NO,1934,145
STAT,5+,NA,1876,599.3073717999264
SIM,3,NO,1933,164
STAT,5+,NA,1873,539.0502562008244
SIM,3,NO,1932,145
STAT,5+,NA,1874,558.7472277549858
STAT,5+,NA,1879,660.0197194302887
STAT,5+,NA,1877,619.6894560847983
STAT,5+,NA,1878,640.0958163579002
SIM,3,NO,1928,168
SIM,3,NO,1927,150
SIM,3,NO,1926,159
SIM,3,NO,1925,139
SIM,3,NO,1929,138
SIM,3,NO,1920,152
STAT,5+,NA,1860,286.41300370519554
STAT,5+,NA,1861,309.05244490041326
SIM,3,NO,1924,149
STAT,5+,NA,1864,368.1902036981868
SIM,3,NO,1923,159
STAT,5+,NA,1865,386.3888897521949
SIM,3,NO,1922,144
STAT,5+,NA,1862,330.09875074928755
SIM,3,NO,1921,151
STAT,5+,NA,1863,349.6115437060891
STAT,5+,NA,1868,442.4939674498953
STAT,5+,NA,1869,460.11797303437794
STAT,5+,NA,1866,404.8281470055468
STAT,5+,NA,1867,423.44916207591865
SIM,3,NO,1917,146
SIM,3,NO,1916,150
SIM,3,NO,1915,145
SIM,3,NO,1914,159
SIM,3,NO,1919,150
SIM,3,NO,1918,145
SIM,3,NO,1913,144
SIM,3,NO,1912,141
SIM,3,NO,1911,162
SIM,3,NO,1910,152
STAT,5+,NA,1857,208.44468699464485
STAT,5+,NA,1858,235.02883403749166
STAT,5+,NA,1855,152.97066651526657
STAT,5+,NA,1856,180.957601486917
STAT,5+,NA,1859,262.0197973886065
SIM,3,NO,1906,131
SIM,3,NO,1905,167
SIM,3,NO,1904,160
SIM,3,NO,1903,156
SIM,3,NO,1909,138
SIM,3,NO,1908,149
SIM,3,NO,1907,161
SIM,3,NO,1902,162
SIM,3,NO,1901,145
SIM,3,NO,1900,159
STAT,4,NA,1861,315.1076271189758
STAT,4,NA,1860,312.25369760790994
STAT,4,NA,1865,368.3135737386626
STAT,4,NA,1864,348.1286648985503
STAT,4,NA,1863,332.6951069514483
STAT,4,NA,1862,321.65618604003674
STAT,4,NA,1858,312.776246917855
STAT,4,NA,1857,313.9231312409918
STAT,4,NA,1856,312.6375803450377
STAT,4,NA,1855,308.71361139806015
STAT,4,NA,1859,311.95135439935643
STAT,4,NA,1872,601.871787082458
STAT,4,NA,1871,562.448682401473
STAT,4,NA,1870,524.3064193029073
STAT,4,NA,1876,766.71267001095
STAT,4,NA,1875,725.0133504559822
STAT,4,NA,1874,683.487073725843
STAT,4,NA,1873,642.33571938118
STAT,4,NA,1869,487.64415840174433
STAT,4,NA,1868,453.1839107238076
STAT,4,NA,1867,421.1501869033883
STAT,4,NA,1866,392.749548071471
SIM,1,NO,1930,457
SIM,1,NO,1931,443
SIM,1,NO,1932,472
SIM,1,NO,1933,463
SIM,1,NO,1923,434
SIM,1,NO,1924,476
SIM,1,NO,1925,429
SIM,1,NO,1926,465
SIM,1,NO,1927,446
SIM,1,NO,1928,444
SIM,1,NO,1929,432
SIM,1,NO,1920,452
SIM,1,NO,1921,446
SIM,1,NO,1922,461
SIM,1,NO,1912,481
SIM,1,NO,1913,440
SIM,1,NO,1914,452
SIM,1,NO,1915,456
SIM,1,NO,1916,464
SIM,1,NO,1917,445
SIM,1,NO,1918,489
SIM,1,NO,1919,467
SIM,1,NO,1950,448
SIM,1,NO,1951,469
SIM,1,NO,1952,472
SIM,1,NO,1953,453
SIM,1,NO,1954,461
SIM,1,NO,1955,462
SIM,1,NO,1945,468
SIM,1,NO,1946,463
SIM,1,NO,1947,456
SIM,1,NO,1948,436
SIM,1,NO,1949,436
SIM,1,NO,1940,445
SIM,1,NO,1941,460
SIM,1,NO,1942,466
SIM,1,NO,1943,463
SIM,1,NO,1944,430
SIM,1,NO,1934,460
SIM,1,NO,1935,447
SIM,1,NO,1936,473
SIM,1,NO,1937,452
SIM,1,NO,1938,447
SIM,1,NO,1939,461
STAT,1,YES,1999,1.3649129642167688
STAT,1,YES,1998,1.3651777854295712
STAT,1,YES,1997,1.365442665273395
STAT,4,NA,1899,1628.3819681988477
STAT,1,YES,1989,1.3675621708901198
STAT,1,YES,1988,1.367827037701324
STAT,1,YES,1987,1.3680918960162125
STAT,1,YES,1986,1.3683567572453292
STAT,1,YES,1996,1.3657075915780281
STAT,1,YES,1995,1.3659725473695425
STAT,1,YES,1994,1.366237506503777
STAT,1,YES,1993,1.3665024571124376
STAT,1,YES,1992,1.3667674064864586
STAT,1,YES,1991,1.3670323475968509
STAT,1,YES,1990,1.367297274106414
SIM,1,NO,1910,476
SIM,1,NO,1911,446
STAT,4,NA,1883,1056.463732979041
STAT,4,NA,1882,1015.7707863190794
STAT,4,NA,1881,974.7924391137828
STAT,4,NA,1880,933.4726422764411
STAT,4,NA,1887,1215.0257690553326
STAT,4,NA,1886,1176.1027678084745
STAT,4,NA,1885,1136.6656464407538
STAT,4,NA,1884,1096.7894348095092
SIM,1,NO,1909,448
STAT,4,NA,1879,891.9358856348861
STAT,4,NA,1878,850.224684339141
STAT,4,NA,1877,808.4630016196302
SIM,1,NO,1901,464
SIM,1,NO,1902,453
SIM,1,NO,1903,453
SIM,1,NO,1904,463
SIM,1,NO,1905,459
SIM,1,NO,1906,454
SIM,1,NO,1907,456
SIM,1,NO,1908,459
STAT,4,NA,1890,1328.5443504733432
SIM,1,NO,1900,461
STAT,4,NA,1894,1470.372118596304
STAT,4,NA,1893,1436.0635406592191
STAT,4,NA,1892,1400.9459461463568
STAT,4,NA,1891,1365.1048485231313
STAT,4,NA,1898,1598.7353341171945
STAT,4,NA,1897,1568.0659883435926
STAT,4,NA,1896,1536.4200559212682
STAT,4,NA,1895,1503.8291768164327
STAT,4,NA,1889,1291.3203859220257
STAT,4,NA,1888,1253.4606885587611
SIM,2,NO,2006,288
SIM,2,NO,2007,320
SIM,2,NO,2004,320
SIM,2,NO,2005,307
SIM,2,NO,2008,313
SIM,2,NO,2009,337
SIM,2,YES,1874,1
SIM,2,YES,1875,1
STAT,1,YES,1959,1.3755374305608994
SIM,2,YES,1872,1
STAT,1,YES,1958,1.3758029493573827
SIM,2,YES,1873,1
STAT,1,YES,1957,1.3760687778880771
SIM,2,NO,2002,327
SIM,2,YES,1878,2
STAT,1,YES,1956,1.3763346084528463
SIM,2,NO,2003,324
SIM,2,YES,1879,1
STAT,1,YES,1955,1.3766004717686968
SIM,2,NO,2000,306
SIM,2,YES,1876,1
STAT,1,YES,1954,1.376866210726971
SIM,2,NO,2001,334
SIM,2,YES,1877,1
STAT,1,YES,1953,1.3771321783354213
STAT,1,YES,1963,1.3744737566519514
STAT,1,YES,1962,1.3747399595120506
STAT,1,YES,1961,1.3750060260517007
STAT,1,YES,1960,1.3752718901123375
SIM,2,YES,1870,1
SIM,2,YES,1871,1
STAT,1,NO,2015,420.9505217530423
STAT,1,NO,2016,420.86896570997135
SIM,2,YES,1869,2
STAT,1,NO,2011,421.2768570315229
STAT,1,NO,2012,421.1952535483557
STAT,1,NO,2013,421.1136642220126
STAT,1,NO,2014,421.0320873157607
SIM,2,YES,1863,1
STAT,1,YES,1949,1.378200240282755
SIM,2,NO,2010,331
SIM,2,YES,1864,1
STAT,1,YES,1948,1.3784679911553783
SIM,2,YES,1861,2
STAT,1,YES,1947,1.3787358980665658
SIM,2,YES,1862,1
STAT,1,NO,2010,421.3584770238376
STAT,1,YES,1946,1.3790042364385537
SIM,2,NO,2013,329
SIM,2,YES,1867,1
STAT,1,YES,1945,1.3792731957355804
SIM,2,NO,2014,335
SIM,2,YES,1868,1
STAT,1,YES,1944,1.379542911270139
SIM,2,NO,2011,290
SIM,2,YES,1865,1
STAT,1,YES,1943,1.3798122451286732
SIM,2,NO,2012,337
SIM,2,YES,1866,1
STAT,1,YES,1942,1.380080459518481
STAT,1,YES,1952,1.3773987217844064
STAT,1,YES,1951,1.3776654966511306
STAT,1,YES,1950,1.3779326845323348
SIM,2,YES,1860,1
SIM,2,YES,1896,1
SIM,2,YES,1897,1
SIM,2,YES,1894,1
SIM,2,YES,1895,1
STAT,1,YES,1979,1.3702123841840899
STAT,1,YES,1978,1.370477981285684
STAT,1,YES,1977,1.3707436916426943
SIM,2,YES,1898,1
STAT,1,YES,1976,1.3710095488132494
SIM,2,YES,1899,1
STAT,1,YES,1975,1.3712755781088923
STAT,1,YES,1985,1.368621641845314
STAT,1,YES,1984,1.3688865685729297
STAT,1,YES,1983,1.369151546318776
STAT,1,YES,1982,1.3694165824952789
SIM,2,YES,1892,1
STAT,1,YES,1981,1.3696817058590127
SIM,2,YES,1893,2
STAT,1,YES,1980,1.36994695544158
SIM,2,YES,1890,1
SIM,2,YES,1891,1
SIM,2,YES,1885,1
SIM,2,YES,1886,1
SIM,2,YES,1883,1
STAT,1,YES,1969,1.3728746920210915
SIM,2,YES,1884,2
STAT,1,YES,1968,1.3731414424100636
SIM,2,YES,1889,1
STAT,1,YES,1967,1.3734081472790762
STAT,1,YES,1966,1.3736747794633442
SIM,2,YES,1887,1
STAT,1,YES,1965,1.3739412699732507
SIM,2,YES,1888,1
STAT,1,YES,1964,1.3742075608784023
STAT,1,YES,1974,1.3715418336889686
STAT,1,YES,1973,1.3718082708719976
STAT,1,YES,1972,1.372074769273539
STAT,1,YES,1971,1.3723413474399724
SIM,2,YES,1881,1
STAT,1,YES,1970,1.3726079831698077
SIM,2,YES,1882,1
SIM,2,YES,1880,1
SIM,3,NO,1898,141
SIM,1,NO,1970,453
SIM,3,NO,1897,136
SIM,1,NO,1971,442
SIM,1,NO,1972,445
SIM,3,NO,1896,156
SIM,3,NO,1895,130
SIM,1,NO,1973,464
SIM,3,YES,2014,1
SIM,1,NO,1974,462
SIM,1,NO,1975,444
STAT,1,YES,1919,1.3862305769743015
SIM,1,NO,1976,433
STAT,1,YES,1918,1.3865045624872576
SIM,1,NO,1977,439
SIM,3,NO,1899,157
STAT,1,YES,1917,1.3867838168591242
SIM,3,NO,1890,156
STAT,1,YES,1916,1.3870542935238463
STAT,1,YES,1915,1.3873288808257167
STAT,1,YES,1914,1.3876013910155882
STAT,1,YES,1913,1.3878727632804704
SIM,3,NO,1894,152
STAT,1,YES,1912,1.3881430340880683
SIM,3,NO,1893,164
STAT,1,YES,1911,1.3884151554850397
SIM,3,NO,1892,152
STAT,1,YES,1910,1.3886916454125022
SIM,3,NO,1891,138
SIM,1,NO,1967,451
SIM,1,NO,1968,445
SIM,1,NO,1969,456
SIM,3,NO,1887,165
SIM,1,NO,1960,449
SIM,3,NO,1886,136
SIM,3,NO,1885,164
SIM,1,NO,1961,457
SIM,1,NO,1962,468
SIM,3,NO,1884,152
SIM,1,NO,1963,448
STAT,1,YES,1909,1.3889713338826768
SIM,1,NO,1964,440
STAT,1,YES,1908,1.389227272129552
SIM,1,NO,1965,473
SIM,3,NO,1889,159
STAT,1,YES,1907,1.3894715741236858
SIM,1,NO,1966,441
SIM,3,NO,1888,175
STAT,1,YES,1906,1.389751557558543
STAT,1,YES,1905,1.3900265026253291
STAT,1,YES,1904,1.3903049765336775
STAT,1,YES,1903,1.3905518707642202
STAT,1,YES,1902,1.3907817585572113
SIM,3,NO,1883,140
STAT,1,YES,1901,1.391068452054442
SIM,3,NO,1882,158
STAT,1,YES,1900,1.3913327460725506
SIM,3,NO,1881,146
SIM,3,NO,1880,155
SIM,1,NO,1956,448
SIM,1,NO,1957,453
SIM,1,NO,1958,455
SIM,1,NO,1959,457
SIM,3,NO,1876,143
SIM,1,NO,1992,428
STAT,1,NO,2004,421.84869582595485
SIM,1,NO,1993,446
SIM,3,NO,1875,143
STAT,1,NO,2005,421.7669249046006
SIM,1,NO,1994,456
SIM,3,NO,1874,151
SIM,2,YES,1858,1
STAT,1,NO,2006,421.68518297399305
SIM,3,NO,1873,150
SIM,1,NO,1995,452
SIM,2,YES,1859,1
STAT,1,NO,2007,421.60346857213483
SIM,1,NO,1996,448
STAT,1,NO,2000,422.1760734008794
SIM,3,NO,1879,144
SIM,1,NO,1997,454
STAT,1,NO,2001,422.0941877046251
SIM,3,NO,1878,155
SIM,1,NO,1998,444
STAT,1,NO,2002,422.0123279847292
SIM,3,NO,1877,151
SIM,1,NO,1999,451
STAT,1,YES,1939,1.3808884160572672
STAT,1,NO,2003,421.9304969376239
STAT,1,YES,1938,1.3811572685334137
STAT,1,YES,1937,1.3814238674898804
STAT,1,YES,1936,1.3816912154076775
STAT,1,YES,1935,1.3819582905619565
SIM,3,NO,1872,142
SIM,2,YES,1856,1
STAT,1,YES,1934,1.3822256876099392
SIM,3,NO,1871,137
SIM,2,YES,1857,1
STAT,1,YES,1933,1.3824925109578432
SIM,3,NO,1870,155
SIM,1,NO,1990,463
SIM,2,YES,1854,2
STAT,1,YES,1932,1.382758004981566
SIM,1,NO,1991,427
SIM,2,YES,1855,1
