Source,Age,NPCIAP,CIY,Date,freq
SIM,20to24,0+,NO,1961,2136
SIM,20to24,0+,NO,1960,2132
SIM,20to24,0+,NO,1963,2130
SIM,20to24,0+,NO,1962,2130
SIM,20to24,0+,NO,1969,2134
SIM,20to24,0+,NO,1968,2130
SIM,20to24,0+,NO,1965,2130
SIM,20to24,0+,NO,1964,2137
SIM,20to24,0+,NO,1967,2130
SIM,20to24,0+,NO,1966,2131
SIM,20to24,0+,NO,1972,2131
SIM,20to24,0+,NO,1971,2130
SIM,20to24,0+,NO,1974,2129
SIM,20to24,0+,NO,1973,2133
SIM,20to24,0+,NO,1970,2131
SIM,20to24,0+,NO,1979,2122
SIM,20to24,0+,NO,1976,2122
SIM,20to24,0+,NO,1975,2135
SIM,20to24,0+,NO,1978,2130
SIM,20to24,0+,NO,1977,2125
SIM,20to24,0+,NO,1983,2125
SIM,20to24,0+,NO,1982,2127
SIM,20to24,0+,NO,1985,2126
SIM,20to24,0+,NO,1984,2126
SIM,20to24,0+,NO,1981,2125
SIM,20to24,0+,NO,1980,2122
SIM,20to24,0+,NO,1987,2118
SIM,20to24,0+,NO,1986,2123
SIM,20to24,0+,NO,1989,2121
SIM,20to24,0+,NO,1988,2125
SIM,20to24,0+,NO,1994,2119
SIM,20to24,0+,NO,1993,2119
SIM,20to24,0+,NO,1996,2117
SIM,20to24,0+,NO,1995,2124
SIM,20to24,0+,NO,1990,2118
SIM,20to24,0+,NO,1992,2120
SIM,20to24,0+,NO,1991,2117
SIM,20to24,0+,NO,1998,2121
SIM,20to24,0+,NO,1997,2116
SIM,20to24,0+,NO,1999,2118
SIM,20to24,0+,NO,1925,2153
SIM,20to24,0+,NO,1924,2150
SIM,20to24,0+,NO,1927,2145
SIM,20to24,0+,NO,1926,2154
SIM,20to24,0+,NO,1921,2148
SIM,20to24,0+,NO,1920,2153
SIM,20to24,0+,NO,1923,2153
SIM,20to24,0+,NO,1922,2158
SIM,20to24,0+,NO,1918,2152
SIM,20to24,0+,NO,1917,2154
SIM,20to24,0+,NO,1919,2154
SIM,20to24,0+,NO,1930,2145
SIM,20to24,0+,NO,1936,2145
SIM,20to24,0+,NO,1935,2148
SIM,20to24,0+,NO,1938,2140
SIM,20to24,0+,NO,1937,2149
SIM,20to24,0+,NO,1932,2151
SIM,20to24,0+,NO,1931,2148
SIM,20to24,0+,NO,1934,2144
SIM,20to24,0+,NO,1933,2152
SIM,20to24,0+,NO,1929,2151
SIM,20to24,0+,NO,1928,2147
SIM,20to24,0+,NO,1941,2143
SIM,20to24,0+,NO,1940,2144
SIM,20to24,0+,NO,1947,2143
SIM,20to24,0+,NO,1946,2144
SIM,20to24,0+,NO,1949,2140
SIM,20to24,0+,NO,1948,2139
SIM,20to24,0+,NO,1943,2141
SIM,20to24,0+,NO,1942,2136
SIM,20to24,0+,NO,1945,2143
SIM,20to24,0+,NO,1944,2141
