Source,Age,NPCIAP,CIY,Date,freq
SIM,20to24,0+,NO,1961,10680
SIM,20to24,0+,NO,1960,10684
SIM,20to24,0+,NO,1963,10671
SIM,20to24,0+,NO,1962,10672
SIM,20to24,0+,NO,1969,10642
SIM,20to24,0+,NO,1968,10652
SIM,20to24,0+,NO,1965,10668
SIM,20to24,0+,NO,1964,10671
SIM,20to24,0+,NO,1967,10665
SIM,20to24,0+,NO,1966,10659
SIM,20to24,0+,NO,1972,10639
SIM,20to24,0+,NO,1971,10652
SIM,20to24,0+,NO,1974,10637
SIM,20to24,0+,NO,1973,10651
SIM,20to24,0+,NO,1970,10655
SIM,20to24,0+,NO,1979,10630
SIM,20to24,0+,NO,1976,10639
SIM,20to24,0+,NO,1975,10635
SIM,20to24,0+,NO,1978,10639
SIM,20to24,0+,NO,1977,10637
SIM,20to24,0+,NO,1983,10617
SIM,20to24,0+,NO,1982,10626
SIM,20to24,0+,NO,1985,10607
SIM,20to24,0+,NO,1984,10627
SIM,20to24,0+,NO,1981,10623
SIM,20to24,0+,NO,1980,10638
SIM,20to24,0+,NO,1987,10615
SIM,20to24,0+,NO,1986,10621
SIM,20to24,0+,NO,1989,10606
SIM,20to24,0+,NO,1988,10618
SIM,20to24,0+,NO,1994,10594
SIM,20to24,0+,NO,1993,10596
SIM,20to24,0+,NO,1996,10593
SIM,20to24,0+,NO,1995,10596
SIM,20to24,0+,NO,1990,10617
SIM,20to24,0+,NO,1992,10609
SIM,20to24,0+,NO,1991,10599
SIM,20to24,0+,NO,1998,10596
SIM,20to24,0+,NO,1997,10587
SIM,20to24,0+,NO,1999,10590
SIM,20to24,0+,NO,1925,10762
SIM,20to24,0+,NO,1924,10757
SIM,20to24,0+,NO,1927,10747
SIM,20to24,0+,NO,1926,10752
SIM,20to24,0+,NO,1921,10757
SIM,20to24,0+,NO,1920,10764
SIM,20to24,0+,NO,1923,10761
SIM,20to24,0+,NO,1922,10765
SIM,20to24,0+,NO,1918,10769
SIM,20to24,0+,NO,1917,10770
SIM,20to24,0+,NO,1919,10769
SIM,20to24,0+,NO,1930,10746
SIM,20to24,0+,NO,1936,10725
SIM,20to24,0+,NO,1935,10744
SIM,20to24,0+,NO,1938,10736
SIM,20to24,0+,NO,1937,10725
SIM,20to24,0+,NO,1932,10737
SIM,20to24,0+,NO,1931,10730
SIM,20to24,0+,NO,1934,10735
SIM,20to24,0+,NO,1933,10735
SIM,20to24,0+,NO,1929,10754
SIM,20to24,0+,NO,1928,10748
SIM,20to24,0+,NO,1941,10716
SIM,20to24,0+,NO,1940,10721
SIM,20to24,0+,NO,1947,10700
SIM,20to24,0+,NO,1946,10698
SIM,20to24,0+,NO,1949,10697
SIM,20to24,0+,NO,1948,10708
SIM,20to24,0+,NO,1943,10713
SIM,20to24,0+,NO,1942,10711
SIM,20to24,0+,NO,1945,10716
SIM,20to24,0+,NO,1944,10719
SIM,20to24,0+,NO,1939,10721
SIM,20to24,0+,NO,1950,10702
SIM,20to24,0+,NO,1952,10687
SIM,20to24,0+,NO,1951,10696
SIM,20to24,0+,NO,1958,10679
SIM,20to24,0+,NO,1957,10679
SIM,20to24,0+,NO,1959,10678
SIM,20to24,0+,NO,1954,10690
SIM,20to24,0+,NO,1953,10694
SIM,20to24,0+,NO,1956,10681
SIM,20to24,0+,NO,1955,10679
SIM,35to39,0+,NO,1934,11765
STAT,15to19,0+,YES,1995,728.1638298169728
SIM,35to39,0+,NO,1933,11762
STAT,15to19,0+,YES,1994,728.3054408315911
SIM,35to39,0+,NO,1932,11765
STAT,15to19,0+,YES,1993,728.4470687967607
SIM,35to39,0+,NO,1931,11771
STAT,15to19,0+,YES,1992,728.5886887638308
SIM,35to39,0+,NO,1938,11757
STAT,15to19,0+,YES,1991,728.7302762480597
SIM,35to39,0+,NO,1937,11753
STAT,15to19,0+,YES,1990,728.8718065772073
SIM,35to39,0+,NO,1936,11753
SIM,35to39,0+,NO,1935,11758
SIM,35to39,0+,NO,1939,11748
SIM,35to39,0+,NO,1930,11775
STAT,15to19,0+,YES,1999,727.5980067369892
STAT,15to19,0+,YES,1998,727.7393323015285
STAT,15to19,0+,YES,1997,727.880754485903
STAT,15to19,0+,YES,1996,728.0222601315814
SIM,35to39,0+,NO,1923,11782
