Source,Age,NPCIAP,CIY,Date,freq
SIM,20to24,0+,NO,1961,21337
SIM,20to24,0+,NO,1960,21358
SIM,20to24,0+,NO,1963,21341
SIM,20to24,0+,NO,1962,21344
SIM,20to24,0+,NO,1969,21303
SIM,20to24,0+,NO,1968,21329
SIM,20to24,0+,NO,1965,21340
SIM,20to24,0+,NO,1964,21339
SIM,20to24,0+,NO,1967,21313
SIM,20to24,0+,NO,1966,21312
SIM,20to24,0+,NO,1972,21292
SIM,20to24,0+,NO,1971,21296
SIM,20to24,0+,NO,1974,21280
SIM,20to24,0+,NO,1973,21295
SIM,20to24,0+,NO,1970,21300
SIM,20to24,0+,NO,1979,21264
SIM,20to24,0+,NO,1976,21287
SIM,20to24,0+,NO,1975,21295
SIM,20to24,0+,NO,1978,21274
SIM,20to24,0+,NO,1977,21281
SIM,20to24,0+,NO,1983,21248
SIM,20to24,0+,NO,1982,21244
SIM,20to24,0+,NO,1985,21234
SIM,20to24,0+,NO,1984,21236
SIM,20to24,0+,NO,1981,21247
SIM,20to24,0+,NO,1980,21270
SIM,20to24,0+,NO,1987,21230
SIM,20to24,0+,NO,1986,21226
SIM,20to24,0+,NO,1989,21217
SIM,20to24,0+,NO,1988,21227
SIM,20to24,0+,NO,1994,21202
SIM,20to24,0+,NO,1993,21188
SIM,20to24,0+,NO,1996,21180
SIM,20to24,0+,NO,1995,21192
SIM,20to24,0+,NO,1990,21217
SIM,20to24,0+,NO,1992,21205
SIM,20to24,0+,NO,1991,21212
SIM,20to24,0+,NO,1998,21176
SIM,20to24,0+,NO,1997,21186
SIM,20to24,0+,NO,1999,21167
SIM,20to24,0+,NO,1925,21519
SIM,20to24,0+,NO,1924,21515
SIM,20to24,0+,NO,1927,21500
SIM,20to24,0+,NO,1926,21500
SIM,20to24,0+,NO,1921,21533
SIM,20to24,0+,NO,1920,21537
SIM,20to24,0+,NO,1923,21522
SIM,20to24,0+,NO,1922,21524
SIM,20to24,0+,NO,1918,21555
SIM,20to24,0+,NO,1917,21546
SIM,20to24,0+,NO,1919,21530
SIM,20to24,0+,NO,1930,21475
SIM,20to24,0+,NO,1936,21464
SIM,20to24,0+,NO,1935,21455
SIM,20to24,0+,NO,1938,21440
SIM,20to24,0+,NO,1937,21461
SIM,20to24,0+,NO,1932,21479
SIM,20to24,0+,NO,1931,21483
SIM,20to24,0+,NO,1934,21462
SIM,20to24,0+,NO,1933,21482
SIM,20to24,0+,NO,1929,21497
SIM,20to24,0+,NO,1928,21502
SIM,20to24,0+,NO,1941,21436
SIM,20to24,0+,NO,1940,21449
SIM,20to24,0+,NO,1947,21427
SIM,20to24,0+,NO,1946,21418
SIM,20to24,0+,NO,1949,21409
SIM,20to24,0+,NO,1948,21406
SIM,20to24,0+,NO,1943,21426
SIM,20to24,0+,NO,1942,21420
SIM,20to24,0+,NO,1945,21429
SIM,20to24,0+,NO,1944,21426
SIM,20to24,0+,NO,1939,21455
SIM,20to24,0+,NO,1950,21385
SIM,20to24,0+,NO,1952,21392
SIM,20to24,0+,NO,1951,21383
SIM,20to24,0+,NO,1958,21357
SIM,20to24,0+,NO,1957,21367
SIM,20to24,0+,NO,1959,21348
SIM,20to24,0+,NO,1954,21373
SIM,20to24,0+,NO,1953,21391
SIM,20to24,0+,NO,1956,21368
SIM,20to24,0+,NO,1955,21378
SIM,35to39,0+,NO,1934,23520
STAT,15to19,0+,YES,1995,1456.3933639724344
SIM,35to39,0+,NO,1933,23529
STAT,15to19,0+,YES,1994,1456.6762802717278
SIM,35to39,0+,NO,1932,23540
STAT,15to19,0+,YES,1993,1456.9593059580395
SIM,35to39,0+,NO,1931,23540
STAT,15to19,0+,YES,1992,1457.2424080726103
SIM,35to39,0+,NO,1938,23506
STAT,15to19,0+,YES,1991,1457.5255515227689
SIM,35to39,0+,NO,1937,23516
STAT,15to19,0+,YES,1990,1457.8087005274072
SIM,35to39,0+,NO,1936,23515
SIM,35to39,0+,NO,1935,23517
SIM,35to39,0+,NO,1939,23497
SIM,35to39,0+,NO,1930,23547
STAT,15to19,0+,YES,1999,1455.2632430507276
STAT,15to19,0+,YES,1998,1455.545515837538
STAT,15to19,0+,YES,1997,1455.8279654256726
STAT,15to19,0+,YES,1996,1456.1105852979153
SIM,35to39,0+,NO,1923,23590
SIM,35to39,0+,NO,1922,23580
SIM,35to39,0+,NO,1921,23588
SIM,35to39,0+,NO,1920,23593
SIM,35to39,0+,NO,1927,23564
SIM,35to39,0+,NO,1926,23565
SIM,35to39,0+,NO,1925,23567
SIM,35to39,0+,NO,1924,23573
SIM,35to39,0+,NO,1929,23558
SIM,35to39,0+,NO,1928,23554
SIM,35to39,0+,NO,1912,23638
SIM,35to39,0+,NO,1911,23633
SIM,35to39,0+,NO,1910,23648
SIM,35to39,0+,NO,1916,23620
SIM,35to39,0+,NO,1915,23618
SIM,35to39,0+,NO,1914,23636
SIM,35to39,0+,NO,1913,23631
SIM,20to24,0+,NO,1903,21613
SIM,35to39,0+,NO,1919,23596
SIM,20to24,0+,NO,1902,21618
SIM,20to24,0+,NO,1905,21602
SIM,35to39,0+,NO,1918,23604
SIM,20to24,0+,NO,1904,21608
SIM,35to39,0+,NO,1917,23619
SIM,20to24,0+,NO,1901,21621
SIM,20to24,0+,NO,1900,21631
SIM,35to39,0+,NO,1901,23688
SIM,35to39,0+,NO,1900,23697
SIM,35to39,0+,NO,1905,23670
SIM,35to39,0+,NO,1904,23669
SIM,35to39,0+,NO,1903,23693
SIM,35to39,0+,NO,1902,23683
SIM,35to39,0+,NO,1909,23655
SIM,20to24,0+,NO,1914,21564
SIM,35to39,0+,NO,1908,23651
SIM,20to24,0+,NO,1913,21555
SIM,35to39,0+,NO,1907,23655
SIM,20to24,0+,NO,1916,21549
SIM,35to39,0+,NO,1906,23669
SIM,20to24,0+,NO,1915,21568
SIM,20to24,0+,NO,1910,21578
SIM,20to24,0+,NO,1912,21570
SIM,20to24,0+,NO,1911,21580
SIM,20to24,0+,NO,1907,21596
SIM,20to24,0+,NO,1906,21598
SIM,20to24,0+,NO,1909,21580
SIM,20to24,0+,NO,1908,21593
SIM,35to39,0+,NO,1899,23693
SIM,35to39,0+,NO,1898,23708
STAT,15to19,0+,YES,1919,1477.9663280028703
STAT,15to19,0+,YES,1918,1478.2512139185644
