Source,NCIP,Separated,Date,freq
SIM,3,NO,1975,1467
SIM,3,NO,1974,1465
SIM,3,NO,1973,1496
SIM,3,NO,1972,1504
SIM,3,NO,1979,1495
SIM,3,NO,1978,1441
SIM,3,NO,1977,1507
SIM,3,NO,1976,1439
STAT,2,NA,1780,35889.69026921723
STAT,2,NA,1781,37102.733846774885
STAT,2,NA,1782,38301.53185145877
SIM,3,NO,1971,1467
STAT,2,NA,1783,39485.84439033788
SIM,3,NO,1970,1474
STAT,2,NA,1784,40655.02207657323
STAT,2,NA,1785,41808.719396706896
STAT,2,NA,1786,42945.874677457614
STAT,2,NA,1776,30897.45867896309
STAT,2,NA,1777,32167.191733964122
STAT,2,NA,1778,33421.60626035212
STAT,2,NA,1779,34662.88483144794
SIM,3,NO,1969,1461
SIM,3,NO,1964,1507
SIM,3,NO,1963,1496
SIM,3,NO,1962,1547
SIM,3,NO,1961,1477
SIM,3,NO,1968,1548
SIM,3,NO,1967,1449
SIM,3,NO,1966,1475
SIM,3,NO,1965,1524
STAT,2,NA,1790,47317.151662735654
STAT,2,NA,1791,48361.28413042224
STAT,2,NA,1792,49383.89618623457
STAT,2,NA,1793,50383.922166088465
SIM,3,NO,1960,1459
STAT,2,NA,1794,51360.224660169304
STAT,2,NA,1795,52311.62874681513
STAT,2,NA,1796,53236.75414075075
STAT,2,NA,1797,54134.32874612986
STAT,2,NA,1787,44065.96441697171
STAT,2,NA,1788,45168.431075386485
STAT,2,NA,1789,46252.40372938075
SIM,3,NO,1959,1572
SIM,3,NO,1958,1440
SIM,3,NO,1953,1506
STAT,5+,NA,1893,9835.505517706148
SIM,3,NO,1952,1522
STAT,5+,NA,1894,9833.598464903345
SIM,3,NO,1951,1509
STAT,5+,NA,1891,9839.32085836633
SIM,3,NO,1950,1432
STAT,5+,NA,1892,9837.412996251478
SIM,3,NO,1957,1527
STAT,5+,NA,1897,9827.880213949069
SIM,3,NO,1956,1448
STAT,5+,NA,1898,9825.975166061806
SIM,3,NO,1955,1524
STAT,5+,NA,1895,9831.691877227426
SIM,3,NO,1954,1524
STAT,5+,NA,1896,9829.78578753103
STAT,5+,NA,1899,9824.070647328375
STAT,2,NA,1798,55003.097047424744
STAT,2,NA,1799,55841.65563114214
SIM,3,NO,1949,1492
