yob	sex	age	died	source	freq
1990	m	0	no	in	18023
1990	m	0	yes	in	1975
1990	m	1	no	in	17855
1990	m	1	yes	in	170
1990	m	2	no	in	17680
1990	m	2	yes	in	175
1990	f	0	no	in	11000
1990	f	0	yes	in	9000
1990	f	1	no	in	10890
1990	f	1	yes	in	110
1990	f	2	no	in	10780
1990	f	2	yes	in	110
1990	m	0	no	sim	18025
1990	m	0	yes	sim	1975
1990	m	1	no	sim	17855
1990	m	1	yes	sim	170
1990	m	2	no	sim	17680
1990	m	2	yes	sim	175
1990	f	0	no	sim	11000
1990	f	0	yes	sim	9000
1990	f	1	no	sim	10890
1990	f	1	yes	sim	110
1990	f	2	no	sim	10780
1990	f	2	yes	sim	110
