yob	sex	age	died	source	freq
1990	m	0	no	in	900
1990	m	0	yes	in	100
1990	m	1	no	in	891
1990	m	1	yes	in	9
1990	m	2	no	in	882.09
1990	m	2	yes	in	8.91
1990	f	0	no	in	500
1990	f	0	yes	in	500
1990	f	1	no	in	495
1990	f	1	yes	in	5
1990	f	2	no	in	490.05
1990	f	2	yes	in	4.95
1990	m	0	no	sim	1802
1990	m	0	yes	sim	198
1990	m	1	no	sim	1780
1990	m	1	yes	sim	20
1990	m	2	no	sim	1764
1990	m	2	yes	sim	18
1990	f	0	no	sim	1002
1990	f	0	yes	sim	998
1990	f	1	no	sim	988
1990	f	1	yes	sim	12
1990	f	2	no	sim	982
1990	f	2	yes	sim	8
